Alimento;Kcal (100g);Proteína (g);Hidratos (g);Gordura (g)
Abacate, Hass;176;1,1;2,3;17,4
Abóbora cristalizada;293;0;72,4;0,2
Abóbora crua;11;0,3;1,7;0,2
Abrótea cozida;79;19,4;0;0,1
Abrótea crua;70;17,2;0;0,1
Açafrão;353;11,4;61,5;5,9
Açafrão-da-índia seco;312;6,7;44,1;7
Acelga crua;23;1,8;2,7;0,2
Achocolatado com alto teor de gordura, pó;428;12;70,6;10,6
Achocolatado com baixo teor de gordura, pó;395;6,5;86,2;2,5
Açorda;104;3,3;13,1;4
Açorda à alentejana;95;3,5;12,3;3,3
Açorda de bacalhau;69;3,4;5,7;3,5
Açorda de marisco;51;4,5;5,4;1,2
Açorda de ovo;108;3,6;14;4
Açúcar amarelo;390;0;97,5;0
Açúcar branco;397;0;99,3;0
Agrião cru;29;3,4;0,4;0,9
"Água mineral natural gaseificada, ""Água Castello""";0;0;0;0
"Água mineral natural gaseificada, ""Vimeiro""";0;0;0;0
"Água mineral natural gasocarbónica, ""Pedras Salgadas""";0;0;0;0
"Água mineral natural, ""Luso""";0;0;0;0
Água, rede pública de abastecimento (Lisboa);0;0;0;0
Aguardente;308;0;0;0
Aipo cru;15;1,1;1,5;0,1
Alcachofra cozida;46;3;5,3;0,2
Alcachofra crua;51;3;6,8;0,2
Alcaparras (picles);44;2,4;4,9;0,9
Alecrim fresco;115;1,4;13,5;4,4
Alecrim seco;377;4,9;46,4;15,2
Alface;12;0,9;1,5;0
Alface roxa;12;0,9;1,5;0
Algas nori;256;30,8;9,2;2,6
Alheira cozida;269;8,3;26,8;14
Alheira crua;309;8,3;27,4;18,1
Alheira grelhada;302;8,1;28,5;17
Alho-francês cru;26;1,8;2,9;0,3
Alho cru;72;3,8;11,3;0,6
Alho em pó;310;17,6;52,3;1,2
Almôndegas de porco;234;8;29,2;8,9
Almôndegas de vaca;252;17;6,4;17,4
Almôndegas de vaca e porco;243;19,2;3,8;16,7
Alperce;48;0,8;8,5;0,1
Alperce seco;242;5,4;41,2;0,9
Alperce, conserva em calda de açúcar;163;0,5;39,3;0,1
Alternativa vegetal ao iogurte à base de coco, sem açúcar;89;0,7;6,6;6,5
Alternativa vegetal ao iogurte à base de soja;59;3;5,9;2,4
Amêijoa aberta ao natural sem sal;131;23,4;5,2;1,8
Amêijoa crua;65;11,7;2,6;0,9
Amêijoas à Bulhão Pato;89;12,8;3,2;2,5
Ameixa branca;40;0,6;7,8;0,2
Ameixa encarnada;41;0,8;7,4;0,2
Ameixa rainha Cláudia;57;0,8;11,8;0,1
Ameixa seca;198;2,9;37,8;0,3
Ameixa, conserva em calda de açúcar;115;0,2;27,5;0,2
Amêndoa, miolo, com pele;643;21,6;7,2;56
Amêndoa, miolo, torrada, sem pele;650;21,6;7,1;56,8
Amendoim, miolo;589;25,4;10,1;47,7
Amendoim, miolo, torrado com sal;622;27,3;6;51
Amendoim, miolo, torrado sem sal;622;27,3;6;51
Amora silvestre;43;1,4;4,5;0,9
Ananás;42;0,5;8,6;0
Ananás desidratado;363;3,8;72,8;1,5
Ananás, conserva em calda de açúcar;98;0,5;23,2;0
Anchova, conserva em óleo, escorrido;191;25,2;0;10
Anona;82;1,7;16,8;0,4
Anona desidratada;351;7,2;71,6;1,7
Arroz à valenciana;111;7,6;7,7;5,3
Arroz agulha cru;347;6,7;78,1;0,4
Arroz carolino branqueado cru;357;7,4;79,6;0,5
Arroz cozido simples;125;2,5;28;0,2
Arroz de bacalhau;90;3,1;15,3;1,6
Arroz de bacalhau com margarina;91;5,4;12,2;2,1
